max_cut_value,time_in_nanoseconds,solver,node_count,edge_count,graph_name
14,45867700,GoemansWilliamsonMaxCutSolver,10,20,data/set6/graph_2025-06-02-19-00-1510_20.csv
15,6181200,GoemansWilliamsonMaxCutSolver,10,20,data/set6/graph_2025-06-02-19-00-1510_20.csv
14,12214400,GoemansWilliamsonMaxCutSolver,10,20,data/set6/graph_2025-06-02-19-00-1510_20.csv
14,10308600,GoemansWilliamsonMaxCutSolver,10,20,data/set6/graph_2025-06-02-19-00-1510_20.csv
14,10744500,GoemansWilliamsonMaxCutSolver,10,20,data/set6/graph_2025-06-02-19-00-1510_20.csv
14,7594000,GoemansWilliamsonMaxCutSolver,10,20,data/set6/graph_2025-06-02-19-00-1510_20.csv
15,6389500,GoemansWilliamsonMaxCutSolver,10,20,data/set6/graph_2025-06-02-19-00-1510_20.csv
15,9166000,GoemansWilliamsonMaxCutSolver,10,20,data/set6/graph_2025-06-02-19-00-1510_20.csv
15,7326800,GoemansWilliamsonMaxCutSolver,10,20,data/set6/graph_2025-06-02-19-00-1510_20.csv
14,7817400,GoemansWilliamsonMaxCutSolver,10,20,data/set6/graph_2025-06-02-19-00-1510_20.csv
15,7974200,GoemansWilliamsonMaxCutSolver,10,22,data/set6/graph_2025-06-02-19-00-1510_22.csv
16,6507800,GoemansWilliamsonMaxCutSolver,10,22,data/set6/graph_2025-06-02-19-00-1510_22.csv
16,11108700,GoemansWilliamsonMaxCutSolver,10,22,data/set6/graph_2025-06-02-19-00-1510_22.csv
16,8534400,GoemansWilliamsonMaxCutSolver,10,22,data/set6/graph_2025-06-02-19-00-1510_22.csv
16,9721800,GoemansWilliamsonMaxCutSolver,10,22,data/set6/graph_2025-06-02-19-00-1510_22.csv
16,8527800,GoemansWilliamsonMaxCutSolver,10,22,data/set6/graph_2025-06-02-19-00-1510_22.csv
15,7192600,GoemansWilliamsonMaxCutSolver,10,22,data/set6/graph_2025-06-02-19-00-1510_22.csv
16,6737300,GoemansWilliamsonMaxCutSolver,10,22,data/set6/graph_2025-06-02-19-00-1510_22.csv
16,7217700,GoemansWilliamsonMaxCutSolver,10,22,data/set6/graph_2025-06-02-19-00-1510_22.csv
16,6816600,GoemansWilliamsonMaxCutSolver,10,22,data/set6/graph_2025-06-02-19-00-1510_22.csv
14,12051400,GoemansWilliamsonMaxCutSolver,11,19,data/set6/graph_2025-06-02-19-00-1511_19.csv
13,7279000,GoemansWilliamsonMaxCutSolver,11,19,data/set6/graph_2025-06-02-19-00-1511_19.csv
13,6220400,GoemansWilliamsonMaxCutSolver,11,19,data/set6/graph_2025-06-02-19-00-1511_19.csv
13,6118500,GoemansWilliamsonMaxCutSolver,11,19,data/set6/graph_2025-06-02-19-00-1511_19.csv
13,6541100,GoemansWilliamsonMaxCutSolver,11,19,data/set6/graph_2025-06-02-19-00-1511_19.csv
15,7529200,GoemansWilliamsonMaxCutSolver,11,19,data/set6/graph_2025-06-02-19-00-1511_19.csv
14,10499100,GoemansWilliamsonMaxCutSolver,11,19,data/set6/graph_2025-06-02-19-00-1511_19.csv
14,11302400,GoemansWilliamsonMaxCutSolver,11,19,data/set6/graph_2025-06-02-19-00-1511_19.csv
14,7342500,GoemansWilliamsonMaxCutSolver,11,19,data/set6/graph_2025-06-02-19-00-1511_19.csv
14,6756200,GoemansWilliamsonMaxCutSolver,11,19,data/set6/graph_2025-06-02-19-00-1511_19.csv
20,7475300,GoemansWilliamsonMaxCutSolver,11,31,data/set6/graph_2025-06-02-19-00-1511_20.csv
21,6969300,GoemansWilliamsonMaxCutSolver,11,31,data/set6/graph_2025-06-02-19-00-1511_20.csv
22,7721300,GoemansWilliamsonMaxCutSolver,11,31,data/set6/graph_2025-06-02-19-00-1511_20.csv
20,7583500,GoemansWilliamsonMaxCutSolver,11,31,data/set6/graph_2025-06-02-19-00-1511_20.csv
21,6970500,GoemansWilliamsonMaxCutSolver,11,31,data/set6/graph_2025-06-02-19-00-1511_20.csv
20,6227900,GoemansWilliamsonMaxCutSolver,11,31,data/set6/graph_2025-06-02-19-00-1511_20.csv
22,6393000,GoemansWilliamsonMaxCutSolver,11,31,data/set6/graph_2025-06-02-19-00-1511_20.csv
21,7007000,GoemansWilliamsonMaxCutSolver,11,31,data/set6/graph_2025-06-02-19-00-1511_20.csv
20,6282300,GoemansWilliamsonMaxCutSolver,11,31,data/set6/graph_2025-06-02-19-00-1511_20.csv
21,6960000,GoemansWilliamsonMaxCutSolver,11,31,data/set6/graph_2025-06-02-19-00-1511_20.csv
28,9959300,GoemansWilliamsonMaxCutSolver,11,46,data/set6/graph_2025-06-02-19-00-1511_21.csv
29,10589100,GoemansWilliamsonMaxCutSolver,11,46,data/set6/graph_2025-06-02-19-00-1511_21.csv
28,7305600,GoemansWilliamsonMaxCutSolver,11,46,data/set6/graph_2025-06-02-19-00-1511_21.csv
27,13393800,GoemansWilliamsonMaxCutSolver,11,46,data/set6/graph_2025-06-02-19-00-1511_21.csv
27,10874100,GoemansWilliamsonMaxCutSolver,11,46,data/set6/graph_2025-06-02-19-00-1511_21.csv
27,12587900,GoemansWilliamsonMaxCutSolver,11,46,data/set6/graph_2025-06-02-19-00-1511_21.csv
27,6333500,GoemansWilliamsonMaxCutSolver,11,46,data/set6/graph_2025-06-02-19-00-1511_21.csv
28,7897800,GoemansWilliamsonMaxCutSolver,11,46,data/set6/graph_2025-06-02-19-00-1511_21.csv
27,6133100,GoemansWilliamsonMaxCutSolver,11,46,data/set6/graph_2025-06-02-19-00-1511_21.csv
28,7817700,GoemansWilliamsonMaxCutSolver,11,46,data/set6/graph_2025-06-02-19-00-1511_21.csv
23,6064200,GoemansWilliamsonMaxCutSolver,11,34,data/set6/graph_2025-06-02-19-00-1511_22.csv
23,8783800,GoemansWilliamsonMaxCutSolver,11,34,data/set6/graph_2025-06-02-19-00-1511_22.csv
22,7121500,GoemansWilliamsonMaxCutSolver,11,34,data/set6/graph_2025-06-02-19-00-1511_22.csv
21,5366500,GoemansWilliamsonMaxCutSolver,11,34,data/set6/graph_2025-06-02-19-00-1511_22.csv
22,8431800,GoemansWilliamsonMaxCutSolver,11,34,data/set6/graph_2025-06-02-19-00-1511_22.csv
23,5565500,GoemansWilliamsonMaxCutSolver,11,34,data/set6/graph_2025-06-02-19-00-1511_22.csv
21,10047400,GoemansWilliamsonMaxCutSolver,11,34,data/set6/graph_2025-06-02-19-00-1511_22.csv
22,6104600,GoemansWilliamsonMaxCutSolver,11,34,data/set6/graph_2025-06-02-19-00-1511_22.csv
21,9001900,GoemansWilliamsonMaxCutSolver,11,34,data/set6/graph_2025-06-02-19-00-1511_22.csv
22,6535200,GoemansWilliamsonMaxCutSolver,11,34,data/set6/graph_2025-06-02-19-00-1511_22.csv
25,7068100,GoemansWilliamsonMaxCutSolver,11,40,data/set6/graph_2025-06-02-19-00-1511_23.csv
26,7688400,GoemansWilliamsonMaxCutSolver,11,40,data/set6/graph_2025-06-02-19-00-1511_23.csv
25,7201900,GoemansWilliamsonMaxCutSolver,11,40,data/set6/graph_2025-06-02-19-00-1511_23.csv
